"Ref Calipso","","","","","","","","","Sex","Sise","",""
"Ordn","Gr","Sg","S","Sx","Nombre Comercial","","Nombre Cientifico","","Sex","Sise","$Bruto","$Bruto"
"MOLUSCOS","","","","","","","","","","","",""
"1000","01","01","1","3","Caracol ","Manzana","Caracol ","Manzana","N","Med","  500 ","  550.0 "
"TETRAS","","","","","","","","","","","",""
"1100","01","01","2","3","Tetra ","Coli Rojo","Aphyocharax","anisitsi","N","3cm","  2,000 ","  2,200.0 "
"1100","05","02","2","3","Tetra","Cola de Tijera","Hasemania","nana","N","3cm","  2,000 ","  2,200.0 "
"1100","10","03","2","3","Tetra ","Diamante","Moenkhausia","pittieri","N","3cm","  1,900 ","  2,090.0 "
"1100","35","12","1","3","Tetra","Pulcher","Emmigramus","Pulcher","N","3cm","  1,500 ","  1,650.0 "
"1100","40","12","1","3","Tetra","Colombiano","Hiphesopricon","Colombianus","N","3cm","  2,000 ","  2,200.0 "
"1100","10","04","2","3","Tetra ","Sta Filomena","Moenkhausia","Santafilomena","N","3cm","  2,000 ","  2,200.0 "
"1100","15","05","2","3","Tetra ","Llama Comun","Hyphessobrycon","Sweglrsi","N","3cm","  2,000 ","  2,200.0 "
"1100","15","06","1","3","Tetra ","Llama Velo","Hyphessobrycon","Sweglrsi","N","3cm","  3,500 ","  3,850.0 "
"1100","15","07","2","3","Tetra ","Neon Negro","Hyphesobrycom","herbertaxelrodi","N","2.5cm","  3,000 ","  3,300.0 "
"1100","20","08","2","3","Tetra ","Pingüino","Thayeria","oblicua","N","3cm","  3,000 ","  3,300.0 "
"1100","25","09","2","3","Tetra ","Fantasma Negro","Megalophodus","megalopterus","M","3cm","  3,000 ","  3,300.0 "
"1100","25","09","2","3","Tetra ","Fantasma Negro","Megalophodus","megalopterus","H","3cm","  2,500 ","  2,750.0 "
"1100","25","09","2","3","Tetra ","Vonrio","Hyphessobrycon","Flammeus","N","2.5cm","  2,500 ","  2,750.0 "
"1100","30","10","1","3","Monja ","BlackTetra","Gymnocorymbus","ternetzi","N","3.5cm","  1,400 ","  1,540.0 "
"1100","30","11","1","3","Monja ","Albina","Gymnocorymbus","ternetzi","N","3.5cm","  1,800 ","  1,980.0 "
